Attack_ID,Attack_Name
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
4,Hijacking
9,Unknown
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
9,Unknown
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
2,Armed Assault
7,Facility/Infrastructure Attack
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
1,Assassination
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
2,Armed Assault
9,Unknown
9,Unknown
9,Unknown
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
1,Assassination
9,Unknown
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
2,Armed Assault
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
9,Unknown
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
1,Assassination
1,Assassination
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
2,Armed Assault
3,Bombing/Explosion
8,Unarmed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
8,Unarmed Assault
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
8,Unarmed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
9,Unknown
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
1,Assassination
9,Unknown
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
9,Unknown
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
1,Assassination
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
2,Armed Assault
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
1,Assassination
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
1,Assassination
1,Assassination
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
8,Unarmed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
9,Unknown
1,Assassination
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
1,Assassination
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
9,Unknown
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
1,Assassination
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
2,Armed Assault
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
5,Hostage Taking (Barricade Incident)
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
9,Unknown
9,Unknown
7,Facility/Infrastructure Attack
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
9,Unknown
7,Facility/Infrastructure Attack
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
1,Assassination
3,Bombing/Explosion
9,Unknown
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
1,Assassination
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
9,Unknown
2,Armed Assault
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
9,Unknown
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
7,Facility/Infrastructure Attack
9,Unknown
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
9,Unknown
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
1,Assassination
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
1,Assassination
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
7,Facility/Infrastructure Attack
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
9,Unknown
6,Hostage Taking (Kidnapping)
2,Armed Assault
2,Armed Assault
2,Armed Assault
1,Assassination
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
2,Armed Assault
2,Armed Assault
1,Assassination
1,Assassination
5,Hostage Taking (Barricade Incident)
1,Assassination
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
4,Hijacking
3,Bombing/Explosion
1,Assassination
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
6,Hostage Taking (Kidnapping)
2,Armed Assault
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
1,Assassination
2,Armed Assault
2,Armed Assault
2,Armed Assault
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
2,Armed Assault
6,Hostage Taking (Kidnapping)
2,Armed Assault
1,Assassination
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
2,Armed Assault
9,Unknown
6,Hostage Taking (Kidnapping)
7,Facility/Infrastructure Attack
7,Facility/Infrastructure Attack
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
2,Armed Assault
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
3,Bombing/Explosion
7,Facility/Infrastructure Attack
3,Bombing/Explosion
3,Bombing/Explosion
6,Hostage Taking (Kidnapping)
7,Facility/Infrastructure Attack
9,Unknown
2,Armed Assault
3,Bombing/Explosion
3,Bombing/Explosion
